post,date,artist,song_name,korean_name,director,video,type,release
,2020-01-12,ENOi,Cheeky,,,Youtube,Boy,Major
,2020-01-10,ANS,Say My Name,,,Youtube,Girl,Major
,2020-01-09,Ong Seung Wu,We Belong,,,Youtube,Boy Solo,Major
,2020-01-08,Amber Liu,Stay Calm,,,Youtube,Girl Solo,Major
,2020-01-08,DreamNote,Wish,바라다,,Youtube,Girl,Major
,2020-01-07,Verivery,Lay Back,,,Youtube,Boy,Major
,2020-01-07,Red Velvet,Remember Forever,,,Youtube,Girl,Minor
,2020-01-06,B.O.Y,My Angel,,,Youtube,Boy,Major
,2020-01-06,Dustin,Burn,,,Youtube,Boy,Major
,2020-01-06,Younha,Dark Cloud,먹구름,,Youtube,Girl Solo,Major
,2020-01-06,ATEEZ,Answer,,,Youtube,Boy,Major
,2020-01-05,SF9,Good Guy,,,Youtube,Boy,Major
,2020-01-04,M.O.N.T,Tired,피곤,,Youtube,Boy,Major
,2020-01-02,MCND,Top Gang,,,Youtube,Boy,Major
,2020-01-02,TST,Count down,,,Youtube,Boy,Major
,2020-01-01,DONGKIZ,All I Need is You,,,Youtube,Boy,Major
Post,2019-12-30,Momoland,Thumbs Up,,,Youtube,Girl,Major
,2019-12-26,Jiyeon,Take A Hike,,,Youtube,Girl Solo,Major
,2019-12-23,Red Velvet,Psycho,,,Youtube,Girl,Major
,2019-12-17,Oneus,808,,,Youtube,Boy,Japanese
,2019-12-15,Woojoo jjokkomi,White Winter,,,Youtube,Boy,Special
,2019-12-13,Kim Jaehwan,The Time I Need,시간이 필요해,,Youtube,Boy Solo,Major
,2019-12-11,BoA,Starry Night faet. Crush,,,Youtube,Girl Solo,Major
,2019-12-09,Stray Kids,Levanter,바람,,Youtube,Boy,Major
,2019-12-06,JBJ95,Only One,,,Youtube,Boy,Major
,2019-12-04,Park Jihoon,360,,,Youtube,Boy Solo,Major
,2019-12-03,U-Kwon (Block B),Fuego feat. RGP,,,Youtube,Boy Solo,Major
,2019-12-02,Hi Cutie,Lovely Day,러블리데이,,Youtube,Girl,Minor
,2019-11-30,J.Y. Park,"Fever feat. Superbee, BIBI",,,Youtube,Boy Solo,Major
,2019-11-28,Limitless,Wish Wish,,,Youtube,Boy,Major
,2019-11-28,Newkidd,Come,컴,,Youtube,Boy,Major
,2019-11-27,EXO,Obsession,,,Youtube,Boy,Major
,2019-11-26,AOA,Come See Me,날 보러 와요,,Youtube,Girl,Major
,2019-11-25,Kang Daniel,Touchin',,,Youtube,Boy Solo,Major
,2019-11-20,ASTRO,Blue Flame,,,Youtube,Boy,Major
,2019-11-19,CIX,Numb,순수의 시대,,Youtube,Boy,Major
,2019-11-19,WJSN,As You Wish,이루리,,Youtube,Girl,Major
,2019-11-18,Golden Child,Wannabe,,ZANYBROS,Youtube,Boy,Major
,2019-11-18,IU,Blueming,블루밍,,Youtube,Girl Solo,Major
,2019-11-14,Mamamoo,Hip,,,Youtube,Girl,Major
,2019-11-13,IN2IT,ULlala: Poisoning,ULlala: 중독,,Youtube,Boy,Major
,2019-11-13,Stray Kids,Astronaut,,,Youtube,Boy,Major
,2019-11-12,Nature,OOPSIE (My Bad),,,Youtube,Girl,Major
,2019-11-12,Seven O'Clock,Midnight Sun,,,Youtube,Boy,Major
,2019-11-10,ATEEZ,UTOPIA (Japanese Ver.),,,Youtube,Boy,Japanese
,2019-11-06,The Boyz,Tattoo,,,Youtube,Boy,Japanese
,2019-11-06,1TEAM,Make This,,,Youtube,Boy,Major
,2019-11-05,BVNDIT,Dumb,,Rigend Film,Youtube,Girl,Major
,2019-11-05,Dawn,Money,,,Youtube,Boy Solo,Major
,2019-11-05,Hyuna,Flower Shower,,,Youtube,Girl Solo,Major
,2019-11-05,DONGKIZ,Fever,,,Youtube,Boy,Major
,2019-11-04,B.I.G,Illusion,,,Youtube,Boy,Major
,2019-11-04,GOT7,You Calling My Name,니가 부르는 나의 이름,,Youtube,Boy,Major
,2019-11-04,VICTON,nostalgic night,그리운 밤,,Youtube,Boy,Major
,2019-11-03,Hinapia,Drip,,,Youtube,Girl,Major
,2019-11-03,Nam Woohyun,When Fall Comes,가을이 오면,,Youtube,Boy Solo,Major
,2019-11-01,San (Hotshot),Free Falling (Eng Ver.),,,Youtube,Boy Solo,English
,2019-11-01,OnlyOneOf,Sage,구원,Wooje Kim,Youtube,Boy,Major
,2019-11-01,Jessi,Drip feat. Jay Park,,,Youtube,Girl Solo,Major
,2019-10-31,N.Flying,Kick-Ass,,,Youtube,Boy,Japanese
,2019-10-31,Zico,Balloon,,,Youtube,Boy Solo,Minor
,2019-10-30,We In The Zone,Loveade,,,Youtube,Boy,Major
,2019-10-30,GFRIEND,Fallin' Light,,,Youtube,Girl,Japanese
,2019-10-30,Yubin,Silent Movie feat. Yoon MiRae,,,Youtube,Girl Solo,Major
,2019-10-29,Hoody,Adios feat. GRAY,,,Youtube,Girl Solo,Major
,2019-10-29,A.C.E,Savage,삐딱선,,Youtube,Boy,Major
,2019-10-28,Taeyeon,Spark,불티,,Youtube,Girl Solo,Major
,2019-10-28,MONSTA X,Follow,,,Youtube,Boy,Major
,2019-10-28,Brown Eyed Girls,Abandoned,,,Youtube,Girl,Major
,2019-10-28,Brown Eyed Girls,Wonder Woman,,,Youtube,Girl,Major
,2019-10-27,WeGirls,Heart Beat,,,Youtube,Girl,Minor
,2019-10-25,Favorite,Catch Me,,,Youtube,Girl,Japanese
,2019-10-25,Sunny Hill,NomNomNom,놈놈놈,,Youtube,Girl,Major
,2019-10-24,M.O.N.T,The Korean Island Dokdo,독도는 우리땅,,Youtube,Boy,Major
,2019-10-24,Onewe,Regulus (Japanese ver.),,,Youtube,Boy,Japanese
,2019-10-24,Karin (WishGirls),Ka Ka Ka feat. Hyejin,,,Youtube,Girl,Special
,2019-10-23,Ariaz,Moonlight Aria,까만 밤의 아리아,,Youtube,Girl,Major
,2019-10-23,TVXQ!,Hot Sauce,,,Youtube,Boy,Japanese
,2019-10-23,Winner,SOSO,,,Youtube,Boy,Major
,2019-10-22,DAY6,Sweet Chaos,,,Youtube,Boy,Major
,2019-10-22,MONSTA X,Find You,,,Youtube,Boy,Minor
,2019-10-22,Youngjae,Forever Love,,,Youtube,Boy Solo,Major
,2019-10-22,Takeuchi Miyu,My Type,,,Youtube,Girl Solo,Special
,2019-10-22,CIX,My New World,,,Youtube,Boy,Major
,2019-10-21,NU'EST,Love Me,,,Youtube,Boy,Major
,2019-10-21,VAV,Poison,포이즌,,Youtube,Boy,Major
,2019-10-21,TXT,Run Away,9와 4분의 3 승강장에서 너를 기다려,,Youtube,Boy,Major
,2019-10-20,AleXa,Bomb,,,Youtube,Girl Solo,Major
,2019-10-19,Zelo,Drunken Master,,,Youtube,Boy Solo,Minor
