title;singer;album;producer;distributor;is_popular;num_times_top_10;num_times_top_5;num_times_top_1;is_collab;spotify_uri;album_type;duration_ms;explicit;acousticness;danceability;energy;instrumentalness;liveness;loudness;speechiness;valence;tempo;singer_id;is_ost;for_reality_tvshow;times_in_chart;first_time_in_chart_date;first_time_in_chart_year;first_time_in_chart_month;first_time_in_chart_quarter;first_time_in_chart_period
가라사대;bewhy;the movie star;dejavu group;카카오 m;0;0;0;0;False;5nJvKQsFRmCp2i7EiKjZDg;album;133320;False;0.14300000000000002;0.8059999999999999;0.6779999999999999;0.00418;0.331;-3.841;0.0895;0.433;131.994;1wsoV3RXPkxVz3PwsNRI5K;0;0;1;2019-12-01;2019;12;4;holiday
가로수길에서;gavy n.j;가로수길에서;good fellas entertainment;카카오 m;0;0;0;0;False;1GlHwZRpHu6gcxxSUG3fqX;single;231784;False;0.493;0.467;0.551;0.0;0.28300000000000003;-5.8329999999999975;0.0659;0.503;81.499;6Iyc2IvCGBNStXUmPa8hmu;0;0;1;2012-09-01;2012;9;3;other
가세요;gavy n.j;가세요;good fellas entertainment;카카오 m;0;0;0;0;False;76SuLk3vPLAMaiAbjTa7F0;single;237270;False;0.489;0.568;0.609;0.0;0.107;-5.079;0.0356;0.35700000000000004;83.95299999999997;6Iyc2IvCGBNStXUmPa8hmu;0;0;1;2011-11-01;2011;11;4;holiday
가수가 된 이유;shin yong jae;24;해피페이스 엔터테인먼트;stone music entertainment;0;0;0;0;False;3WaMy9ZLJ56c0XGmMfByzT;single;260147;False;0.777;0.541;0.488;0.0;0.125;-5.0280000000000005;0.033;0.21899999999999997;115.80799999999999;2frFGmni9tkRgXYdXmzQvR;0;0;3;2012-09-01;2012;9;3;other
가슴 뛰도록;sg wannabe;the voice;b2m 엔터테인먼트, stone music entertainment;stone music entertainment;1;0;0;0;False;4QmxLCTVMGKIEo0jLKn8CY;single;251935;False;0.23199999999999998;0.45899999999999996;0.879;0.0;0.0855;-2.185;0.0588;0.31;107.152;2c3IakpImjWyeXNvyyGsdn;0;0;2;2015-08-01;2015;8;3;summer
가슴에 살아 (feat. 나르샤);untouchable-sep-narsha;untouchable mini album 2nd;ts엔터테인먼트;카카오 m;1;0;0;0;True;7fYc36q01UUFCsLsMks7uV;album;229121;False;0.366;0.5429999999999999;0.82;0.00021899999999999998;0.451;-3.822;0.0334;0.465;143.963;2HDRkPTO5A59sFcC2ROGbw-sep-1OWVHV30ai3o8cgOTBVd72;0;0;2;2010-02-01;2010;2;1;other
가슴으로 운다 (feat. 아이린, 윤미);j-cera-sep-december-sep-아이린-sep-윤미;love harmony;씨에스해피엔터테인먼트;씨에스해피엔터테인먼트;1;0;0;0;True;52S8H8rRloCLkd39z6EXl9;single;215586;False;0.35;0.552;0.7040000000000001;0.0;0.138;-2.7569999999999997;0.0296;0.392;96.91799999999999;3MhLDkENRwJOmFU5MSeLjZ-sep-6WiANXryTQJOTCM3z8jENM-sep-1KI2jxgNu5JCizqylCSFj5-sep-7iFh7rryn7S8s1aQ5qeBUL;0;0;2;2011-08-01;2011;8;3;summer
가슴을 쳐봐도;kim bo kyung;투윅스 ost part 4;스타엔트리엔터테인먼트;sony music;0;0;0;0;False;4e3X71vnulyDKZEZCxMHdQ;compilation;250020;False;0.41600000000000004;0.46299999999999997;0.5670000000000001;1.53e-06;0.0935;-4.599;0.0295;0.151;133.806;0T9N8r2iDnG8oPDsAHzD75;1;0;1;2013-09-01;2013;9;3;other
가슴이 뛴다;k.will;가슴이 뛴다;스타쉽엔터테인먼트;카카오 m;1;1;1;1;False;6oAHHl93XiWHglVLI4SfBX;album;210494;False;0.563;0.575;0.713;0.0;0.11900000000000001;-4.935;0.0288;0.465;106.835;1XNC9ksvgXeD1xRJruSA5t;0;0;2;2011-03-01;2011;3;1;other
가슴이 말해;kim na young;함부로 애틋하게 ost part.3;삼화네트웍스,ihq,가지컨텐츠;카카오 m;0;0;0;0;False;4PVlgqnAacGP0ppxbgkvzZ;single;249244;False;0.61;0.466;0.48100000000000004;0.0;0.121;-4.1419999999999995;0.0285;0.195;133.684;4dvmLXorXADxVq8EcySEWk;1;0;1;2016-08-01;2016;8;3;summer
가슴이 뭉클;seeya;개인의 취향 ost;이김프로덕션;카카오 m;1;1;1;0;False;4JE5PB7BRSjMOazQRFgqSn;compilation;230118;False;0.3720000000000001;0.607;0.496;0.0;0.29100000000000004;-12.957;0.0473;0.511;115.095;6IWLmzntCZH5QNte0LwGgG;1;0;1;2010-04-01;2010;4;2;other
가슴이 뻥 뚫려;wax;가슴이 뻥 뚫려 (digital single);뮤지끄엔터테인먼트;nhn벅스;0;0;0;0;False;1RD6UdsdKgzeLS0e0vFVW0;single;233482;False;0.409;0.514;0.8370000000000001;0.0;0.46399999999999997;-2.675;0.0421;0.825;184.077;5eBvKkLCbBNcsSxzrgahHZ;0;0;1;2011-02-01;2011;2;1;other
가슴이 시린 게;lee hyun;신사의 품격 ost part 3;화앤담픽쳐스;stone music entertainment;1;1;0;0;False;0HSMsoVCX1IEKyK2pnV1rK;compilation;271490;False;0.7240000000000001;0.436;0.499;0.0;0.159;-5.722;0.0346;0.225;131.58100000000002;6MLmtxHkGVuPhYIcMUm1AQ;1;0;3;2012-06-01;2012;6;2;summer
